SampleID,CIN
trio01_posttumour,0.13882062867634637
trio05_posttumour,0.08507001886822352
trio06_posttumour,0.015128370162121063
trio07_posttumour,0.2788015372481885
trio08_posttumour,0.05277403205955185
trio09_posttumour,0.13590177138966938
trio10_posttumour,0.31467535082133724
trio22_posttumour,0.2010821321694372
trio23_posttumour,0.6618546482145712
trio27_posttumour,0.6516705888555291
trio28_posttumour,0.054071082329036305
trio11_posttumour,0.6643983998038404
trio12_posttumour,0.47405478153854275
trio13_posttumour,0.9600524303001753
trio14_posttumour,0.017806658898837865
trio15_posttumour,0.9466036603091159
trio16_posttumour,0.10289338809117807
trio17_posttumour,0.8788599921090949
trio18_posttumour,0.07538155114532752
trio19_posttumour,0.6646539209752123
trio21_posttumour,0.09042161653109064
trio24_posttumour,0.8580414651967336
trio25_posttumour,0.4775953275813697
trio30_posttumour,0.2891960839358383
